firm_name,challenge_name,news_trading,overnight,weekend,ea_allowed,copy_trading,scalping,hedging,consistency_rule,consistency_pct,source_url,source_type,confidence
Earn2Trade,Gauntlet Mini 100K,allowed,prohibited,,allowed,,allowed,,,,https://help.earn2trade.com/en/articles/3849975-what-is-the-maintain-consistency-rule,aggregator_unverified,needs_review
Earn2Trade,Gauntlet Mini 150K,allowed,prohibited,,allowed,,allowed,,,,https://help.earn2trade.com/en/articles/3849975-what-is-the-maintain-consistency-rule,aggregator_unverified,needs_review
Earn2Trade,Gauntlet Mini 25K,allowed,prohibited,,allowed,,allowed,,,,https://help.earn2trade.com/en/articles/3849975-what-is-the-maintain-consistency-rule,aggregator_unverified,needs_review
Earn2Trade,Gauntlet Mini 50K,allowed,prohibited,,allowed,,allowed,,,,https://help.earn2trade.com/en/articles/3849975-what-is-the-maintain-consistency-rule,aggregator_unverified,needs_review
Earn2Trade,Trader Career Path 100K,allowed,prohibited,,allowed,,allowed,,,,https://help.earn2trade.com/en/articles/3849975-what-is-the-maintain-consistency-rule,aggregator_unverified,needs_review
Earn2Trade,Trader Career Path 150K,allowed,prohibited,,allowed,,allowed,,,,https://help.earn2trade.com/en/articles/3849975-what-is-the-maintain-consistency-rule,aggregator_unverified,needs_review
Earn2Trade,Trader Career Path 25K,allowed,prohibited,,allowed,,allowed,,,,https://help.earn2trade.com/en/articles/3849975-what-is-the-maintain-consistency-rule,aggregator_unverified,needs_review
Earn2Trade,Trader Career Path 50K,allowed,prohibited,,allowed,,allowed,,,,https://help.earn2trade.com/en/articles/3849975-what-is-the-maintain-consistency-rule,aggregator_unverified,needs_review
Funded Futures Family,Premier Plus 100K,allowed,allowed,,,,,,required,,https://intercom.help/funded-futures-family/en/articles/15892353-news-trading-policy,aggregator_unverified,needs_review
Funded Futures Family,Premier Plus 150K,allowed,allowed,,,,,,required,,https://intercom.help/funded-futures-family/en/articles/15892353-news-trading-policy,aggregator_unverified,needs_review
Funded Futures Family,Premier Plus 25K,allowed,allowed,,,,,,required,,https://intercom.help/funded-futures-family/en/articles/15892353-news-trading-policy,aggregator_unverified,needs_review
Funded Futures Family,Premier Plus 50K,allowed,allowed,,,,,,required,,https://intercom.help/funded-futures-family/en/articles/15892353-news-trading-policy,aggregator_unverified,needs_review
Funded Futures Family,S2F 100K,allowed,allowed,,,,,,required,,https://intercom.help/funded-futures-family/en/articles/15892353-news-trading-policy,aggregator_unverified,needs_review
Funded Futures Family,S2F 50K,allowed,allowed,,,,,,required,,https://intercom.help/funded-futures-family/en/articles/15892353-news-trading-policy,aggregator_unverified,needs_review
Funded Futures Family,Velocity 100K,allowed,allowed,,,,,,,,https://intercom.help/funded-futures-family/en/articles/15892353-news-trading-policy,aggregator_unverified,needs_review
Funded Futures Family,Velocity 150K,allowed,allowed,,,,,,,,https://intercom.help/funded-futures-family/en/articles/15892353-news-trading-policy,aggregator_unverified,needs_review
Funded Futures Family,Velocity 25K,allowed,allowed,,,,,,,,https://intercom.help/funded-futures-family/en/articles/15892353-news-trading-policy,aggregator_unverified,needs_review
Funded Futures Family,Velocity 50K,allowed,allowed,,,,,,,,https://intercom.help/funded-futures-family/en/articles/15892353-news-trading-policy,aggregator_unverified,needs_review
FuturesElite,Elite 100K,allowed,allowed,allowed,,,allowed,,required,,https://futureselite.com/faq,aggregator_unverified,needs_review
FuturesElite,Elite 150K,allowed,allowed,allowed,,,allowed,,required,,https://futureselite.com/faq,aggregator_unverified,needs_review
FuturesElite,Elite 50K,allowed,allowed,allowed,,,allowed,,required,,https://futureselite.com/faq,aggregator_unverified,needs_review
FuturesElite,Instant Challenge 100K,allowed,allowed,allowed,,,allowed,,,,https://futureselite.com/faq,aggregator_unverified,needs_review
FuturesElite,Instant Challenge 150K,allowed,allowed,allowed,,,allowed,,,,https://futureselite.com/faq,aggregator_unverified,needs_review
FuturesElite,Instant Challenge 25K,allowed,allowed,allowed,,,allowed,,,,https://futureselite.com/faq,aggregator_unverified,needs_review
FuturesElite,Instant Challenge 50K,allowed,allowed,allowed,,,allowed,,,,https://futureselite.com/faq,aggregator_unverified,needs_review
FuturesElite,Prime 100K,allowed,allowed,allowed,,,allowed,,required,,https://futureselite.com/faq,aggregator_unverified,needs_review
FuturesElite,Prime 150K,allowed,allowed,allowed,,,allowed,,required,,https://futureselite.com/faq,aggregator_unverified,needs_review
FuturesElite,Prime 50K,allowed,allowed,allowed,,,allowed,,required,,https://futureselite.com/faq,aggregator_unverified,needs_review
Goat Funded Futures,EOD Challenge 100K,restricted,,,restricted,,,,,,https://help.goatfundedfutures.com/en/articles/14095672-what-is-the-consistency-rule-and-how-does-it-affect-my-payout,aggregator_unverified,needs_review
Goat Funded Futures,EOD Challenge 150K,restricted,,,restricted,,,,,,https://help.goatfundedfutures.com/en/articles/14095672-what-is-the-consistency-rule-and-how-does-it-affect-my-payout,aggregator_unverified,needs_review
Goat Funded Futures,EOD Challenge 50K,restricted,,,restricted,,,,,,https://help.goatfundedfutures.com/en/articles/14095672-what-is-the-consistency-rule-and-how-does-it-affect-my-payout,aggregator_unverified,needs_review
Goat Funded Futures,Flex Challenge 100K,restricted,,,restricted,,,,,50,https://help.goatfundedfutures.com/en/articles/14095672-what-is-the-consistency-rule-and-how-does-it-affect-my-payout,aggregator_unverified,needs_review
Goat Funded Futures,Flex Challenge 150K,restricted,,,restricted,,,,,50,https://help.goatfundedfutures.com/en/articles/14095672-what-is-the-consistency-rule-and-how-does-it-affect-my-payout,aggregator_unverified,needs_review
Goat Funded Futures,Flex Challenge 50K,restricted,,,restricted,,,,,50,https://help.goatfundedfutures.com/en/articles/14095672-what-is-the-consistency-rule-and-how-does-it-affect-my-payout,aggregator_unverified,needs_review
Goat Funded Futures,Instant Funded 100K,restricted,prohibited,,restricted,,,,,,https://help.goatfundedfutures.com/en/articles/14095672-what-is-the-consistency-rule-and-how-does-it-affect-my-payout,aggregator_unverified,needs_review
Goat Funded Futures,Instant Funded 150K,restricted,prohibited,,restricted,,,,,,https://help.goatfundedfutures.com/en/articles/14095672-what-is-the-consistency-rule-and-how-does-it-affect-my-payout,aggregator_unverified,needs_review
Goat Funded Futures,Instant Funded 25K,restricted,prohibited,,restricted,,,,,,https://help.goatfundedfutures.com/en/articles/14095672-what-is-the-consistency-rule-and-how-does-it-affect-my-payout,aggregator_unverified,needs_review
Goat Funded Futures,Instant Funded 50K,restricted,prohibited,,restricted,,,,,,https://help.goatfundedfutures.com/en/articles/14095672-what-is-the-consistency-rule-and-how-does-it-affect-my-payout,aggregator_unverified,needs_review
Goat Funded Futures,Instant Funded 75K,restricted,prohibited,,restricted,,,,,,https://help.goatfundedfutures.com/en/articles/14095672-what-is-the-consistency-rule-and-how-does-it-affect-my-payout,aggregator_unverified,needs_review
Goat Funded Futures,Sprint Challenge 100K,restricted,,,restricted,,,,,,https://help.goatfundedfutures.com/en/articles/14095672-what-is-the-consistency-rule-and-how-does-it-affect-my-payout,aggregator_unverified,needs_review
Goat Funded Futures,Sprint Challenge 25K,restricted,,,restricted,,,,,,https://help.goatfundedfutures.com/en/articles/14095672-what-is-the-consistency-rule-and-how-does-it-affect-my-payout,aggregator_unverified,needs_review
Goat Funded Futures,Sprint Challenge 50K,restricted,,,restricted,,,,,,https://help.goatfundedfutures.com/en/articles/14095672-what-is-the-consistency-rule-and-how-does-it-affect-my-payout,aggregator_unverified,needs_review
Lucid Trading,LucidDaily EOD DLL 50K,allowed,prohibited,prohibited,,,,,,,https://lucidtrading.com/general-faq/,aggregator_unverified,needs_review
Lucid Trading,LucidDaily Intraday DLL 50K,allowed,prohibited,prohibited,,,,,,,https://lucidtrading.com/general-faq/,aggregator_unverified,needs_review
Lucid Trading,LucidDirect 50K,allowed,prohibited,prohibited,,,,,required,20,https://lucidtrading.com/general-faq/,aggregator_unverified,needs_review
Lucid Trading,LucidFlex 100K,allowed,prohibited,prohibited,,,,,,,https://lucidtrading.com/general-faq/,aggregator_unverified,needs_review
Lucid Trading,LucidFlex 150K,allowed,prohibited,prohibited,,,,,,,https://lucidtrading.com/general-faq/,aggregator_unverified,needs_review
Lucid Trading,LucidFlex 25K,allowed,prohibited,prohibited,,,,,,,https://lucidtrading.com/general-faq/,aggregator_unverified,needs_review
Lucid Trading,LucidFlex 50K,allowed,prohibited,prohibited,,,,,,,https://lucidtrading.com/general-faq/,aggregator_unverified,needs_review
Lucid Trading,LucidPro 100K,allowed,prohibited,prohibited,,,,,,,https://lucidtrading.com/general-faq/,aggregator_unverified,needs_review
Lucid Trading,LucidPro 150K,allowed,prohibited,prohibited,,,,,,,https://lucidtrading.com/general-faq/,aggregator_unverified,needs_review
Lucid Trading,LucidPro 25K,allowed,prohibited,prohibited,,,,,,,https://lucidtrading.com/general-faq/,aggregator_unverified,needs_review
Lucid Trading,LucidPro 50K,allowed,prohibited,prohibited,,,,,,,https://lucidtrading.com/general-faq/,aggregator_unverified,needs_review
My Funded Futures,Builder 100K,,,prohibited,allowed,,,,,,https://myfundedfutures.com/faq,aggregator_unverified,needs_review
My Funded Futures,Builder 150K,,,prohibited,allowed,,,,,,https://myfundedfutures.com/faq,aggregator_unverified,needs_review
My Funded Futures,Builder 25K,,,prohibited,allowed,,,,,,https://myfundedfutures.com/faq,aggregator_unverified,needs_review
My Funded Futures,Builder 50K,,,prohibited,allowed,,,,,,https://myfundedfutures.com/faq,aggregator_unverified,needs_review
My Funded Futures,Flex 50K,,,prohibited,allowed,,,,,,https://myfundedfutures.com/faq,aggregator_unverified,needs_review
My Funded Futures,Pro 100K,,,prohibited,allowed,,,,,,https://myfundedfutures.com/faq,aggregator_unverified,needs_review
My Funded Futures,Pro 150K,,,prohibited,allowed,,,,,,https://myfundedfutures.com/faq,aggregator_unverified,needs_review
My Funded Futures,Pro 50K,,,prohibited,allowed,,,,,,https://myfundedfutures.com/faq,aggregator_unverified,needs_review
My Funded Futures,Rapid 100K,,,prohibited,allowed,,,,,,https://myfundedfutures.com/faq,aggregator_unverified,needs_review
My Funded Futures,Rapid 150K,,,prohibited,allowed,,,,,,https://myfundedfutures.com/faq,aggregator_unverified,needs_review
My Funded Futures,Rapid 25K,,,prohibited,allowed,,,,,,https://myfundedfutures.com/faq,aggregator_unverified,needs_review
My Funded Futures,Rapid 25K Trailing 25K,,,prohibited,allowed,,,,,,https://myfundedfutures.com/faq,aggregator_unverified,needs_review
My Funded Futures,Rapid 50K,,,prohibited,allowed,,,,,,https://myfundedfutures.com/faq,aggregator_unverified,needs_review
My Funded Futures,Rapid EOD 50K,,,prohibited,allowed,,,,,,https://myfundedfutures.com/faq,aggregator_unverified,needs_review
Take Profit Trader,Evaluation 100K,restricted,prohibited,,,,allowed,,,,https://takeprofittraderhelp.zendesk.com/,aggregator_unverified,needs_review
Take Profit Trader,Evaluation 150K,restricted,prohibited,,,,allowed,,,,https://takeprofittraderhelp.zendesk.com/,aggregator_unverified,needs_review
Take Profit Trader,Evaluation 50K,restricted,prohibited,,,,allowed,,,,https://takeprofittraderhelp.zendesk.com/,aggregator_unverified,needs_review
Take Profit Trader,Evaluation 75K,restricted,prohibited,,,,allowed,,,,https://takeprofittraderhelp.zendesk.com/,aggregator_unverified,needs_review
Top One Futures,Elite Access 100K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Elite Access 150K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Elite Access 25K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Elite Access 50K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Elite Daily 100K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Elite Daily 150K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Elite Daily 25K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Elite Daily 50K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Elite Evaluation 100K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Elite Evaluation 150K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Elite Evaluation 25K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Elite Evaluation 50K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Ignite 100K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Ignite 150K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Ignite 50K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Instant 25K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Instant 50K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Instant Sim Funded 100K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Instant Sim Funded 150K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Instant Sim Funded 25K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Top One Futures,Instant Sim Funded 50K,allowed,,,,,,,,,https://toponefutures.com/faq,aggregator_unverified,needs_review
Topstep,Trading Combine 100K,allowed,,,,,allowed,,,,https://help.topstep.com/,aggregator_unverified,needs_review
Topstep,Trading Combine 150K,allowed,,,,,allowed,,,,https://help.topstep.com/,aggregator_unverified,needs_review
Topstep,Trading Combine 50K,allowed,,,,,allowed,,,,https://help.topstep.com/,aggregator_unverified,needs_review
Topstep,Trading Combine No Activation Fee 100K,allowed,,,,,allowed,,,,https://help.topstep.com/,aggregator_unverified,needs_review
Topstep,Trading Combine No Activation Fee 150K,allowed,,,,,allowed,,,,https://help.topstep.com/,aggregator_unverified,needs_review
Topstep,Trading Combine No Activation Fee 50K,allowed,,,,,allowed,,,,https://help.topstep.com/,aggregator_unverified,needs_review
TradeDay,Fast Pass 100K,,prohibited,,allowed,,,,,,https://tradeday.com/faq/,aggregator_unverified,needs_review
TradeDay,Fast Pass 150K,,prohibited,,allowed,,,,,,https://tradeday.com/faq/,aggregator_unverified,needs_review
TradeDay,Fast Pass 50K,,prohibited,,allowed,,,,,,https://tradeday.com/faq/,aggregator_unverified,needs_review
TradeDay,Quick Pay EOD 100K,,prohibited,,allowed,,,,,,https://tradeday.com/faq/,aggregator_unverified,needs_review
TradeDay,Quick Pay EOD 150K,,prohibited,,allowed,,,,,,https://tradeday.com/faq/,aggregator_unverified,needs_review
TradeDay,Quick Pay EOD 50K,,prohibited,,allowed,,,,,,https://tradeday.com/faq/,aggregator_unverified,needs_review
TradeDay,Quick Pay Intraday 100K,,prohibited,,allowed,,,,,,https://tradeday.com/faq/,aggregator_unverified,needs_review
TradeDay,Quick Pay Intraday 150K,,prohibited,,allowed,,,,,,https://tradeday.com/faq/,aggregator_unverified,needs_review
TradeDay,Quick Pay Intraday 50K,,prohibited,,allowed,,,,,,https://tradeday.com/faq/,aggregator_unverified,needs_review
Tradeify,Growth 100K,allowed,prohibited,prohibited,,,,,,,https://help.tradeify.co/en/collections/15250320-trading-rules,aggregator_unverified,needs_review
Tradeify,Growth 150K,allowed,prohibited,prohibited,,,,,,,https://help.tradeify.co/en/collections/15250320-trading-rules,aggregator_unverified,needs_review
Tradeify,Growth 25K,allowed,prohibited,prohibited,,,,,,,https://help.tradeify.co/en/collections/15250320-trading-rules,aggregator_unverified,needs_review
Tradeify,Growth 50K,allowed,prohibited,prohibited,,,,,,,https://help.tradeify.co/en/collections/15250320-trading-rules,aggregator_unverified,needs_review
Tradeify,Lightning Funded 100K,allowed,prohibited,prohibited,,,,,,,https://help.tradeify.co/en/collections/15250320-trading-rules,aggregator_unverified,needs_review
Tradeify,Lightning Funded 150K,allowed,prohibited,prohibited,,,,,,,https://help.tradeify.co/en/collections/15250320-trading-rules,aggregator_unverified,needs_review
Tradeify,Lightning Funded 25K,allowed,prohibited,prohibited,,,,,,,https://help.tradeify.co/en/collections/15250320-trading-rules,aggregator_unverified,needs_review
Tradeify,Lightning Funded 50K,allowed,prohibited,prohibited,,,,,,,https://help.tradeify.co/en/collections/15250320-trading-rules,aggregator_unverified,needs_review
Tradeify,Select 100K,allowed,prohibited,prohibited,,,,,,,https://help.tradeify.co/en/collections/15250320-trading-rules,aggregator_unverified,needs_review
Tradeify,Select 150K,allowed,prohibited,prohibited,,,,,,,https://help.tradeify.co/en/collections/15250320-trading-rules,aggregator_unverified,needs_review
Tradeify,Select 25K,allowed,prohibited,prohibited,,,,,,,https://help.tradeify.co/en/collections/15250320-trading-rules,aggregator_unverified,needs_review
Tradeify,Select 50K,allowed,prohibited,prohibited,,,,,,,https://help.tradeify.co/en/collections/15250320-trading-rules,aggregator_unverified,needs_review
