firm_name,firm_website,challenge_name,markets,account_size,price,currency,profit_target_pct,max_drawdown_pct,daily_drawdown_pct,drawdown_type,minimum_days,maximum_days,payout_frequency_days,payout_split_pct,payout_conditions,platforms,leverage,refund_policy,country_restrictions,phases,news_trading,overnight,weekend,ea_allowed,copy_trading,scalping,hedging,consistency_rule,consistency_pct,source_url,source_type,confidence,status
Blue Guardian Futures,,1-Step 25K,futures,25000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Blue Guardian Futures,,1-Step 75K,futures,75000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Blue Guardian Futures,,1-Step 100K,futures,100000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Blue Guardian Futures,,1-Step 150K,futures,150000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Blue Guardian Futures,,1-Step 250K,futures,250000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Blue Guardian Futures,,1-Step 300K,futures,300000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Blueberry Futures,,1-Step 25K,futures,25000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Blueberry Futures,,1-Step 75K,futures,75000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Blueberry Futures,,1-Step 100K,futures,100000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Blueberry Futures,,1-Step 150K,futures,150000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Blueberry Futures,,1-Step 250K,futures,250000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Blueberry Futures,,1-Step 300K,futures,300000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
BrightFunded,,1-Step 5K,forex;crypto;cfd,5000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,allowed,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
BrightFunded,,1-Step 10K,forex;crypto;cfd,10000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,allowed,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
BrightFunded,,1-Step 25K,forex;crypto;cfd,25000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,allowed,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
BrightFunded,,1-Step 50K,forex;crypto;cfd,50000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,allowed,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
BrightFunded,,1-Step 200K,forex;crypto;cfd,200000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,allowed,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
City Traders Imperium,,2-Step 5K,forex;crypto;cfd,5000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
City Traders Imperium,,2-Step 10K,forex;crypto;cfd,10000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
City Traders Imperium,,2-Step 25K,forex;crypto;cfd,25000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
City Traders Imperium,,2-Step 50K,forex;crypto;cfd,50000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
City Traders Imperium,,2-Step 200K,forex;crypto;cfd,200000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Crypto Fund Trader,,Accelerated 5K,forex;crypto;cfd,5000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Crypto Fund Trader,,Accelerated 10K,forex;crypto;cfd,10000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Crypto Fund Trader,,Accelerated 25K,forex;crypto;cfd,25000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Crypto Fund Trader,,Accelerated 50K,forex;crypto;cfd,50000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Crypto Fund Trader,,Accelerated 200K,forex;crypto;cfd,200000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
DayTraders,,1-Step 25K,futures,25000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
DayTraders,,1-Step 75K,futures,75000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
DayTraders,,1-Step 100K,futures,100000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
DayTraders,,1-Step 150K,futures,150000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
DayTraders,,1-Step 250K,futures,250000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
DayTraders,,1-Step 300K,futures,300000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
E8 Futures,,Signature 25K,futures,25000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
E8 Futures,,Signature 75K,futures,75000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
E8 Futures,,Signature 100K,futures,100000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
E8 Futures,,Signature 150K,futures,150000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
E8 Futures,,Signature 250K,futures,250000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
E8 Futures,,Signature 300K,futures,300000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
E8 Markets,,E8 One 5K,forex;crypto;cfd,5000,,USD,,,,trailing,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,allowed,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
E8 Markets,,E8 One 10K,forex;crypto;cfd,10000,,USD,,,,trailing,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,allowed,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
E8 Markets,,E8 One 25K,forex;crypto;cfd,25000,,USD,,,,trailing,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,allowed,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
E8 Markets,,E8 One 50K,forex;crypto;cfd,50000,,USD,,,,trailing,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,allowed,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
E8 Markets,,E8 One 200K,forex;crypto;cfd,200000,,USD,,,,trailing,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,allowed,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Earn2Trade,,Gauntlet Mini 25K,futures,25000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Earn2Trade,,Gauntlet Mini 75K,futures,75000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Earn2Trade,,Gauntlet Mini 100K,futures,100000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Earn2Trade,,Gauntlet Mini 150K,futures,150000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Earn2Trade,,Gauntlet Mini 250K,futures,250000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Earn2Trade,,Gauntlet Mini 300K,futures,300000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Finotive Funding,,Instant 5K,forex;crypto;cfd,5000,,USD,,,,trailing,,,,80,,MT5;cTrader,,,,0,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Finotive Funding,,Instant 10K,forex;crypto;cfd,10000,,USD,,,,trailing,,,,80,,MT5;cTrader,,,,0,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Finotive Funding,,Instant 25K,forex;crypto;cfd,25000,,USD,,,,trailing,,,,80,,MT5;cTrader,,,,0,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Finotive Funding,,Instant 50K,forex;crypto;cfd,50000,,USD,,,,trailing,,,,80,,MT5;cTrader,,,,0,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Finotive Funding,,Instant 200K,forex;crypto;cfd,200000,,USD,,,,trailing,,,,80,,MT5;cTrader,,,,0,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Fintokei,,2-Step 5K,forex;crypto;cfd,5000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Fintokei,,2-Step 10K,forex;crypto;cfd,10000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Fintokei,,2-Step 25K,forex;crypto;cfd,25000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Fintokei,,2-Step 50K,forex;crypto;cfd,50000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Fintokei,,2-Step 200K,forex;crypto;cfd,200000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
For Traders,,2-Step 5K,forex;crypto;cfd,5000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
For Traders,,2-Step 10K,forex;crypto;cfd,10000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
For Traders,,2-Step 25K,forex;crypto;cfd,25000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
For Traders,,2-Step 50K,forex;crypto;cfd,50000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
For Traders,,2-Step 200K,forex;crypto;cfd,200000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Funded Futures Family,,1-Step 25K,futures,25000,,USD,,,,eod_trailing,,,,90,,Tradovate;WealthCharts,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Funded Futures Family,,1-Step 75K,futures,75000,,USD,,,,eod_trailing,,,,90,,Tradovate;WealthCharts,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Funded Futures Family,,1-Step 100K,futures,100000,,USD,,,,eod_trailing,,,,90,,Tradovate;WealthCharts,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Funded Futures Family,,1-Step 150K,futures,150000,,USD,,,,eod_trailing,,,,90,,Tradovate;WealthCharts,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Funded Futures Family,,1-Step 250K,futures,250000,,USD,,,,eod_trailing,,,,90,,Tradovate;WealthCharts,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Funded Futures Family,,1-Step 300K,futures,300000,,USD,,,,eod_trailing,,,,90,,Tradovate;WealthCharts,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
FundedElite,,1-Step 5K,forex;crypto;cfd,5000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
FundedElite,,1-Step 10K,forex;crypto;cfd,10000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
FundedElite,,1-Step 25K,forex;crypto;cfd,25000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
FundedElite,,1-Step 50K,forex;crypto;cfd,50000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
FundedElite,,1-Step 200K,forex;crypto;cfd,200000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
FundedNext,,Stellar 1-Step 5K,forex;crypto;cfd,5000,,USD,,,,static,,,,80,,MT4;MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
FundedNext,,Stellar 1-Step 10K,forex;crypto;cfd,10000,,USD,,,,static,,,,80,,MT4;MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
FundedNext,,Stellar 1-Step 25K,forex;crypto;cfd,25000,,USD,,,,static,,,,80,,MT4;MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
FundedNext,,Stellar 1-Step 50K,forex;crypto;cfd,50000,,USD,,,,static,,,,80,,MT4;MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
FundedNext,,Stellar 1-Step 200K,forex;crypto;cfd,200000,,USD,,,,static,,,,80,,MT4;MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
FundedNext Futures,,Flex 25K,futures,25000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
FundedNext Futures,,Flex 75K,futures,75000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
FundedNext Futures,,Flex 100K,futures,100000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
FundedNext Futures,,Flex 150K,futures,150000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
FundedNext Futures,,Flex 250K,futures,250000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
FundedNext Futures,,Flex 300K,futures,300000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
FundingPips,,1 Step Flex 5K,forex;crypto;cfd,5000,,USD,,,,static,,,,85,,MT5;cTrader,,,,1,restricted,allowed,restricted,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
FundingPips,,1 Step Flex 10K,forex;crypto;cfd,10000,,USD,,,,static,,,,85,,MT5;cTrader,,,,1,restricted,allowed,restricted,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
FundingPips,,1 Step Flex 25K,forex;crypto;cfd,25000,,USD,,,,static,,,,85,,MT5;cTrader,,,,1,restricted,allowed,restricted,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
FundingPips,,1 Step Flex 50K,forex;crypto;cfd,50000,,USD,,,,static,,,,85,,MT5;cTrader,,,,1,restricted,allowed,restricted,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
